claim_id,claim,gold_doc_labels,gold_label_group,best_gold_rank_within_top10,retrieved_top10,predicted_top10_labels,status@3,retrieved_gold_docs@3,correct_gold_docs@3,status@5,retrieved_gold_docs@5,correct_gold_docs@5,status@10,retrieved_gold_docs@10,correct_gold_docs@10
124,Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,"{""4883040"": ""SUPPORTS""}",SUPPORTS,1,"[4883040, 7111021, 21479231, 31363207, 4246523, 22414304, 341324, 21878751, 8294009, 5284188]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[4883040],[4883040],success,[4883040],[4883040],success,[4883040],[4883040]
129,Articles published in open access format are less likely to be cited than traditional journals.,"{""27768226"": ""REFUTES""}",REFUTES,1,"[27768226, 16979690, 6477536, 22711954, 39652608, 11288846, 4688277, 8042158, 790598, 7547329]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[27768226],[27768226],success,[27768226],[27768226],success,[27768226],[27768226]
130,Articles published in open access format are more likely to be cited than traditional journals.,"{""27768226"": ""SUPPORTS""}",SUPPORTS,1,"[27768226, 16979690, 11288846, 8042158, 22711954, 39652608, 7547329, 790598, 7074001, 6319826]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[27768226],[27768226],success,[27768226],[27768226],success,[27768226],[27768226]
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3,4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.","{""16280642"": ""SUPPORTS""}",SUPPORTS,1,"[16280642, 86694016, 17934082, 12640810, 22767022, 14328288, 6492658, 38485364, 39291138, 25623469]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[16280642],[],stance_error,[16280642],[],stance_error,[16280642],[]
137,Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,"{""26016929"": ""SUPPORTS""}",SUPPORTS,1,"[26016929, 457630, 24735908, 21914176, 31208367, 40735046, 10536636, 11880289, 10893238, 4530659]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[26016929],[],stance_error,[26016929],[],stance_error,[26016929],[]
141,Auditory entrainment is strengthened when people see congruent visual and auditory information.,"{""14437255"": ""SUPPORTS""}",SUPPORTS,1,"[14437255, 38794814, 313394, 41182002, 3099497, 18379855, 6955746, 36860856, 43283375, 42330403]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[14437255],[14437255],success,[14437255],[14437255],success,[14437255],[14437255]
142,Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,"{""10582939"": ""REFUTES""}",REFUTES,1,"[10582939, 19511011, 301866, 22613657, 43587663, 30398773, 27243019, 5377059, 4416964, 14647747]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[10582939],[10582939],success,[10582939],[10582939],success,[10582939],[10582939]
143,Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,"{""10582939"": ""SUPPORTS""}",SUPPORTS,1,"[10582939, 19511011, 301866, 22613657, 43587663, 27243019, 14647747, 30398773, 4416964, 5377059]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[10582939],[10582939],success,[10582939],[10582939],success,[10582939],[10582939]
146,Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,"{""10582939"": ""SUPPORTS""}",SUPPORTS,1,"[10582939, 4416964, 51728753, 14647747, 40164383, 24101431, 19511011, 22613657, 33535222, 24825841]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[10582939],[],stance_error,[10582939],[],stance_error,[10582939],[]
148,Autophagy declines in aged organisms.,"{""1084345"": ""SUPPORTS""}",SUPPORTS,2,"[52887689, 1084345, 56528795, 19922508, 10012166, 15728433, 26952804, 7548577, 10463997, 28138927]","[""NOINFO"", ""REFUTES"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[1084345],[],stance_error,[1084345],[],stance_error,[1084345],[]
163,Bariatric surgery has a positive impact on mental health.,"{""18872233"": ""SUPPORTS""}",SUPPORTS,1,"[18872233, 43220289, 40949706, 29022271, 19071857, 7627167, 20130904, 5824985, 40666943, 40078758]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[18872233],[18872233],success,[18872233],[18872233],success,[18872233],[18872233]
171,Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,"{""12670680"": ""REFUTES""}",REFUTES,1,"[12670680, 28149602, 28015516, 14938990, 5448119, 3330111, 11328820, 1049501, 21498497, 1834762]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[12670680],[12670680],success,[12670680],[12670680],success,[12670680],[12670680]
179,Birth-weight is positively associated with breast cancer.,"{""16322674"": ""SUPPORTS"", ""17450673"": ""SUPPORTS"", ""23557241"": ""SUPPORTS"", ""27123743"": ""SUPPORTS""}",SUPPORTS,1,"[27123743, 16322674, 17450673, 23557241, 5487448, 13831842, 37480103, 13765757, 4828631, 38784540]","[""SUPPORTS"", ""SUPPORTS"", ""SUPPORTS"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,"[27123743, 16322674, 17450673]","[27123743, 16322674, 17450673]",success,"[27123743, 16322674, 17450673, 23557241]","[27123743, 16322674, 17450673, 23557241]",success,"[27123743, 16322674, 17450673, 23557241]","[27123743, 16322674, 17450673, 23557241]"
180,Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,"{""16966326"": ""REFUTES""}",REFUTES,1,"[16966326, 9217800, 1964163, 20904154, 25748308, 33912020, 24632480, 19708993, 13380011, 24185667]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[16966326],[],stance_error,[16966326],[],stance_error,[16966326],[]
183,Bone marrow cells contribute to adult macrophage compartments.,"{""12827098"": ""REFUTES""}",REFUTES,1,"[12827098, 3495456, 22973574, 42465769, 3391547, 22406695, 36444198, 7521113, 188911, 24466904]","[""NOINFO"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""SUPPORTS"", ""SUPPORTS"", ""NOINFO"", ""NOINFO""]",stance_error,[12827098],[],stance_error,[12827098],[],stance_error,[12827098],[]
185,Breast cancer development is determined exclusively by genetic factors.,"{""18340282"": ""REFUTES""}",REFUTES,2,"[22975806, 18340282, 1866911, 20280410, 3285322, 17088791, 27123743, 2015126, 5864770, 45638119]","[""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[18340282],[18340282],success,[18340282],[18340282],success,[18340282],[18340282]
208,CHEK2 is not associated with breast cancer.,"{""13519661"": ""SUPPORTS""}",SUPPORTS,1,"[13519661, 15721252, 2613411, 18340282, 10279084, 3851329, 5864770, 4886637, 15946643, 27123743]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[13519661],[],stance_error,[13519661],[],stance_error,[13519661],[]
212,CR is associated with higher methylation age.,"{""22038539"": ""REFUTES""}",REFUTES,4,"[9291668, 7808055, 4679264, 22038539, 11935250, 14475235, 3346812, 7988832, 3098821, 6040392]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],stance_error,[22038539],[],stance_error,[22038539],[]
216,CX3CR1 on the Th2 cells impairs T cell survival,"{""21366394"": ""REFUTES""}",REFUTES,1,"[21366394, 7621534, 34905328, 13798951, 6123924, 14492339, 21363424, 20220731, 2714623, 994800]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[21366394],[21366394],success,[21366394],[21366394],success,[21366394],[21366394]
217,CX3CR1 on the Th2 cells promotes T cell survival,"{""21366394"": ""SUPPORTS""}",SUPPORTS,1,"[21366394, 34905328, 7621534, 13798951, 21363424, 6123924, 14492339, 20220731, 2714623, 4418070]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[21366394],[21366394],success,[21366394],[21366394],success,[21366394],[21366394]
218,CX3CR1 on the Th2 cells promotes airway inflammation.,"{""21366394"": ""SUPPORTS""}",SUPPORTS,1,"[21366394, 1800734, 696006, 20311968, 883747, 26030079, 56486733, 14492339, 22896384, 22852120]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[21366394],[21366394],success,[21366394],[21366394],success,[21366394],[21366394]
219,CX3CR1 on the Th2 cells suppresses airway inflammation.,"{""21366394"": ""REFUTES""}",REFUTES,1,"[21366394, 1800734, 20311968, 696006, 883747, 26030079, 56486733, 22852120, 14492339, 40365566]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[21366394],[],stance_error,[21366394],[],stance_error,[21366394],[]
230,Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,"{""3067015"": ""SUPPORTS""}",SUPPORTS,1,"[3067015, 38028419, 20526907, 5939172, 71625969, 52072815, 23389795, 2739854, 1148122, 10548391]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[3067015],[3067015],success,[3067015],[3067015],success,[3067015],[3067015]
233,Cell autonomous sex determination in somatic cells does not occur in Galliformes.,"{""4388470"": ""REFUTES""}",REFUTES,1,"[4388470, 28390999, 41380943, 2147704, 36708463, 12232678, 31761981, 28928964, 23581096, 17685207]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[4388470],[4388470],success,[4388470],[4388470],success,[4388470],[4388470]
236,Cell autonomous sex determination in somatic cells occurs in Passeriformes.,"{""4388470"": ""SUPPORTS""}",SUPPORTS,1,"[4388470, 31761981, 41380943, 1641873, 5002665, 4343437, 12232678, 16963081, 28390999, 23581096]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[4388470],[4388470],success,[4388470],[4388470],success,[4388470],[4388470]
239,Cellular aging closely links to an older appearance.,"{""14079881"": ""SUPPORTS""}",SUPPORTS,6,"[19343151, 7514614, 6040392, 22264117, 3230557, 14079881, 7808055, 15521377, 2466614, 9291668]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],retrieval_miss,[],[],stance_error,[14079881],[]
248,Chenodeosycholic acid treatment increases whole-body energy expenditure.,"{""1568684"": ""SUPPORTS""}",SUPPORTS,1,"[1568684, 14865329, 21553394, 5839365, 29691654, 70704988, 11705328, 39558597, 23017040, 23369842]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[1568684],[],stance_error,[1568684],[],stance_error,[1568684],[]
249,Chenodeosycholic acid treatment reduces whole-body energy expenditure.,"{""1568684"": ""REFUTES""}",REFUTES,1,"[1568684, 14865329, 5839365, 21553394, 29691654, 39558597, 23017040, 21547032, 23369842, 70704988]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[1568684],[],stance_error,[1568684],[],stance_error,[1568684],[]
261,"Chronic aerobic exercise alters endothelial function, improving vasodilating mechanisms mediated by NO.","{""1122279"": ""SUPPORTS"", ""10697096"": ""SUPPORTS""}",SUPPORTS,6,"[32322418, 25822299, 17097974, 46743299, 29148743, 1122279, 35271381, 10697096, 46328296, 16488405]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],retrieval_miss,[],[],stance_error,"[1122279, 10697096]",[]
274,Combination nicotine replacement therapies with varenicline or bupropion lead to significantly higher long-term abstinence rates at 52 weeks than varenicline monotherapy.,"{""11614737"": ""REFUTES""}",REFUTES,1,"[11614737, 5114940, 8570690, 5551138, 24019260, 34369306, 44408494, 33417012, 7639744, 16422880]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[11614737],[],stance_error,[11614737],[],stance_error,[11614737],[]
275,Combining phosphatidylinositide 3-kinase and MEK 1/2 inhibitors is effective at treating KRAS mutant tumors.,"{""4961038"": ""SUPPORTS"", ""14241418"": ""SUPPORTS""}",SUPPORTS,1,"[4961038, 4920376, 14819804, 1285713, 29321530, 14241418, 85665741, 34016944, 5403286, 28651643]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[4961038],[],stance_error,[4961038],[],stance_error,"[4961038, 14241418]",[]
279,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,"{""14376683"": ""SUPPORTS""}",SUPPORTS,1,"[14376683, 37677954, 35711485, 21230110, 2107238, 5650232, 7324039, 9872468, 17447653, 83667891]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[14376683],[],stance_error,[14376683],[],stance_error,[14376683],[]
295,Crosstalk between dendritic cells (DCs) and innate lymphoid cells (ILCs) is important in the regulation of intestinal homeostasis.,"{""20310709"": ""SUPPORTS""}",SUPPORTS,2,"[29423324, 20310709, 1022115, 22791348, 26702468, 24044977, 11415809, 40096222, 41120293, 46926352]","[""SUPPORTS"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",success,[20310709],[20310709],success,[20310709],[20310709],success,[20310709],[20310709]
298,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,"{""39381118"": ""SUPPORTS""}",SUPPORTS,2,"[23887844, 39381118, 23403754, 34439544, 10852047, 15836115, 8654183, 28249680, 9878167, 935034]","[""NOINFO"", ""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[39381118],[],stance_error,[39381118],[],stance_error,[39381118],[]
314,Deamination of cytidine to uridine on the minus strand of viral DNA results in catastrophic G-to-A mutations in the viral genome.,"{""4347374"": ""SUPPORTS""}",SUPPORTS,8,"[2638387, 544971, 25014337, 20996244, 6426919, 2319305, 15319019, 4347374, 34498325, 24896957]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""SUPPORTS"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],retrieval_miss,[],[],success,[4347374],[4347374]
327,Deletion of αvβ8 does not result in a spontaneous inflammatory phenotype.,"{""17997584"": ""SUPPORTS""}",SUPPORTS,1,"[17997584, 24998637, 1499964, 23305884, 28644298, 25089501, 3330111, 34016987, 27789588, 27545868]","[""REFUTES"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[17997584],[],stance_error,[17997584],[],stance_error,[17997584],[]
338,Dexamethasone decreases risk of postoperative bleeding.,"{""23349986"": ""REFUTES""}",REFUTES,1,"[23349986, 24211561, 8814634, 34338075, 15948830, 36288526, 42404093, 14973286, 2391552, 6477536]","[""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",stance_error,[23349986],[],stance_error,[23349986],[],stance_error,[23349986],[]
343,Diabetic patients with acute coronary syndrome experience increased short-term and long-term risk for bleeding events.,"{""5884524"": ""SUPPORTS""}",SUPPORTS,4,"[23783727, 6158879, 7873737, 5884524, 16760369, 10430148, 72933407, 6176498, 2138843, 33960383]","[""NOINFO"", ""NOINFO"", ""NOINFO"", ""SUPPORTS"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO"", ""NOINFO""]",retrieval_miss,[],[],success,[5884524],[5884524],success,[5884524],[5884524]
